id,name,longName,displayName,displayCode,x,y,LaneType,LaneName,LaneShort
100,소요산,소요산역 1호선,소요산역,100,127.0610492,37.9487472,1,1호선,1호선
101,동두천,동두천역 1호선,동두천역,101,127.0548497,37.9275741,1,1호선,1호선
102,보산,보산역 1호선,보산역,102,127.0571632,37.9142651,1,1호선,1호선
103,동두천중앙,동두천중앙역 1호선,동두천중앙역,103,127.0564208,37.901682,1,1호선,1호선
104,지행,지행역 1호선,지행역,104,127.0557513,37.8923698,1,1호선,1호선
105,덕정,덕정역 1호선,덕정역,105,127.0615286,37.8432232,1,1호선,1호선
106,덕계,덕계역 1호선,덕계역,106,127.0567095,37.8187684,1,1호선,1호선
107,양주,양주역 1호선,양주역,107,127.0447222,37.7742902,1,1호선,1호선
108,녹양,녹양역 1호선,녹양역,108,127.0422889,37.7594386,1,1호선,1호선
110,가능,가능역 1호선,가능역,109,127.044272,37.7483704,1,1호선,1호선
111,의정부,의정부역 1호선,의정부역,110,127.0461031,37.7377829,1,1호선,1호선
112,회룡,회룡역 1호선,회룡역,111,127.0473391,37.7240454,1,1호선,1호선
113,망월사,망월사역 1호선,망월사역,112,127.047364,37.7105024,1,1호선,1호선
114,도봉산,도봉산역 1호선,도봉산역,113,127.046063,37.6895524,1,1호선,1호선
115,도봉,도봉역 1호선,도봉역,114,127.0454881,37.67912,1,1호선,1호선
116,방학,방학역 1호선,방학역,115,127.0443571,37.6674005,1,1호선,1호선
117,창동,창동역 1호선,창동역,116,127.0479449,37.6527595,1,1호선,1호선
118,녹천,녹천역 1호선,녹천역,117,127.0514262,37.6446076,1,1호선,1호선
119,월계,월계역 1호선,월계역,118,127.0588579,37.6331217,1,1호선,1호선
120,광운대,광운대역 1호선,광운대역,119,127.0617819,37.62368,1,1호선,1호선
121,석계,석계역 1호선,석계역,120,127.0656829,37.6150489,1,1호선,1호선
122,신이문,신이문역 1호선,신이문역,121,127.0673912,37.6018093,1,1호선,1호선
123,외대앞,외대앞역 1호선,외대앞역,122,127.0636088,37.5961565,1,1호선,1호선
124,회기,회기역 1호선,회기역,123,127.0578003,37.5896861,1,1호선,1호선
125,청량리,청량리역 1호선,청량리역,124,127.0452708,37.5802055,1,1호선,1호선
126,제기동,제기동역 1호선,제기동역,125,127.0346952,37.5781798,1,1호선,1호선
127,신설동,신설동역 1호선,신설동역,126,127.0243812,37.5759889,1,1호선,1호선
128,동대문,동대문역 1호선,동대문역,128,127.0106727,37.5716881,1,1호선,1호선
129,종로5가,종로5가역 1호선,종로5가역,129,127.0019483,37.5709993,1,1호선,1호선
130,종로3가,종로3가역 1호선,종로3가역,130,126.9921477,37.570436,1,1호선,1호선
131,종각,종각역 1호선,종각역,131,126.983197,37.5701764,1,1호선,1호선
132,시청,시청역 1호선,시청역,132,126.9771405,37.5653656,1,1호선,1호선
133,서울역,서울역 1호선,서울역,133,126.9723173,37.555946,1,1호선,1호선
134,남영,남영역 1호선,남영역,134,126.9713158,37.5406056,1,1호선,1호선
135,용산,용산역 1호선,용산역,135,126.9644282,37.5296794,1,1호선,1호선
136,노량진,노량진역 1호선,노량진역,136,126.9416726,37.5140823,1,1호선,1호선
137,대방,대방역 1호선,대방역,137,126.9264239,37.5134021,1,1호선,1호선
138,신길,신길역 1호선,신길역,138,126.9186529,37.5168369,1,1호선,1호선
139,영등포,영등포역 1호선,영등포역,139,126.9076047,37.5158126,1,1호선,1호선
140,신도림,신도림역 1호선,신도림역,140,126.8915617,37.5090107,1,1호선,1호선
141,구로,구로역 1호선,구로역,141,126.8824085,37.5031569,1,1호선,1호선
142,구일,구일역 1호선,구일역,142,126.8695903,37.4962607,1,1호선,1호선
143,개봉,개봉역 1호선,개봉역,143,126.8591569,37.4945462,1,1호선,1호선
144,오류동,오류동역 1호선,오류동역,144,126.8447498,37.4944163,1,1호선,1호선
145,온수,온수역 1호선,온수역,145,126.8239577,37.4924185,1,1호선,1호선
146,역곡,역곡역 1호선,역곡역,146,126.8119814,37.4852794,1,1호선,1호선
147,소사,소사역 1호선,소사역,147,126.7957368,37.4827699,1,1호선,1호선
148,부천,부천역 1호선,부천역,148,126.7828035,37.4840866,1,1호선,1호선
149,중동,중동역 1호선,중동역,149,126.7642477,37.4867117,1,1호선,1호선
150,송내,송내역 1호선,송내역,150,126.7528537,37.487646,1,1호선,1호선
151,부개,부개역 1호선,부개역,151,126.7407068,37.4884743,1,1호선,1호선
152,부평,부평역 1호선,부평역,152,126.7245174,37.4894813,1,1호선,1호선
