idx,lane,name,time
1,1호선,온수역,2
2,1호선,오류동역,3
3,1호선,개봉역,2
4,1호선,구일역,2
5,1호선,구로역,3
6,1호선,신도림역,2
7,1호선,영등포역,2
8,1호선,신길역,2
9,1호선,대방역,2
10,1호선,노량진역,3
11,1호선,용산역,3
12,1호선,남영역,3
13,1호선,서울역,3
14,1호선,시청역,2
15,1호선,종각역,3
16,1호선,종로3가역,1
17,1호선,종로5가역,2
18,1호선,동대문역,2
19,1호선,동묘앞역,1
20,1호선,신설동역,2
21,1호선,제기동역,2
22,1호선,청량리역,2
23,1호선,회기역,2
24,1호선,외대앞역,2
25,1호선,신이문역,2
26,1호선,석계역,3
27,1호선,광운대역,2
28,1호선,월계역,3
29,1호선,녹천역,2
30,1호선,창동역,2
31,1호선,방학역,3
32,1호선,도봉역,2
33,1호선,도봉산역,2
34,2호선,을지로입구역,2
35,2호선,을지로3가역,2
36,2호선,을지로4가역,1
37,2호선,동대문역사문화공원역,2
38,2호선,신당역,2
39,2호선,상왕십리역,2
40,2호선,왕십리역,1
41,2호선,한양대역,2
42,2호선,뚝섬역,2
43,2호선,성수역,1
44,2호선,건대입구역,2
45,2호선,구의역,3
46,2호선,강변역,1
47,2호선,잠실나루역,3
48,2호선,잠실역,2
49,2호선,잠실새내역,2
50,2호선,종합운동장역,2
51,2호선,삼성역,2
52,2호선,선릉역,2
53,2호선,역삼역,2
54,2호선,강남역,1
55,2호선,교대역,2
56,2호선,서초역,2
57,2호선,방배역,2
58,2호선,사당역,3
59,2호선,낙성대역,2
60,2호선,서울대입구역,2
61,2호선,봉천역,2
62,2호선,신림역,2
63,2호선,신대방역,2
64,2호선,구로디지털단지역,2
65,2호선,대림역,2
66,2호선,신도림역,3
67,2호선,문래역,2
68,2호선,영등포구청역,2
69,2호선,당산역,2
70,2호선,합정역,4
71,2호선,홍대입구역,2
72,2호선,신촌역,2
73,2호선,이대역,2
74,2호선,아현역,2
75,2호선,충정로역,2
76,2호선,시청역,3
77,3호선,구파발역,3
78,3호선,연신내역,3
79,3호선,불광역,3
80,3호선,녹번역,2
81,3호선,홍제역,2
82,3호선,무악재역,2
83,3호선,독립문역,2
84,3호선,경복궁역,2
85,3호선,안국역,2
86,3호선,종로3가역,2
87,3호선,을지로3가역,2
88,3호선,충무로역,1
89,3호선,동대입구역,2
90,3호선,약수역,2
91,3호선,금호역,1
92,3호선,옥수역,2
93,3호선,압구정역,2
94,3호선,신사역,3
95,3호선,잠원역,2
96,3호선,고속터미널역,2
97,3호선,교대역,2
98,3호선,남부터미널역,2
99,3호선,양재역,3
100,3호선,매봉역,2
101,3호선,도곡역,2
102,3호선,대치역,1
103,3호선,학여울역,2
104,3호선,대청역,2
105,3호선,일원역,2
106,3호선,수서역,2
107,3호선,가락시장역,3
108,3호선,경찰병원역,1
109,3호선,오금역,2
110,4호선,당고개역,0
111,4호선,상계역,2
112,4호선,노원역,2
113,4호선,창동역,2
114,4호선,쌍문역,2
115,4호선,수유역,3
116,4호선,미아역,2
117,4호선,미아사거리역,2
118,4호선,길음역,2
119,4호선,성신여대입구역,3
120,4호선,한성대입구역,2
121,4호선,혜화역,2
122,4호선,동대문역,2
123,4호선,동대문역사문화공원역,2
124,4호선,충무로역,2
125,4호선,명동역,1
126,4호선,회현역,2
127,4호선,서울역,2
128,4호선,숙대입구역,2
129,4호선,삼각지역,2
130,4호선,신용산역,1
131,4호선,이촌역,2
132,4호선,동작역,4
133,4호선,총신대입구역,3
134,4호선,사당역,2
135,4호선,남태령역,3
136,5호선,방화역,0
137,5호선,개화산역,2
138,5호선,김포공항역,2
139,5호선,송정역,2
140,5호선,마곡역,2
141,5호선,발산역,2
142,5호선,우장산역,2
143,5호선,화곡역,2
144,5호선,까치산역,2
145,5호선,신정역,3
146,5호선,목동역,1
147,5호선,오목교역,2
148,5호선,양평역,2
149,5호선,영등포구청역,1
150,5호선,영등포시장역,2
151,5호선,신길역,2
152,5호선,여의도역,2
153,5호선,여의나루역,2
154,5호선,마포역,2
155,5호선,공덕역,2
156,5호선,애오개역,2
157,5호선,충정로역,1
158,5호선,서대문역,2
159,5호선,광화문역,2
160,5호선,종로3가역,2
161,5호선,을지로4가역,2
162,5호선,동대문역사문화공원역,2
163,5호선,청구역,2
164,5호선,신금호역,2
165,5호선,행당역,2
166,5호선,왕십리역,1
167,5호선,마장역,2
168,5호선,답십리역,2
169,5호선,장한평역,2
170,5호선,군자역,3
171,5호선,아차산역,1
172,5호선,광나루역,3
173,5호선,천호역,2
174,5호선,강동역,2
175,5호선,둔촌동역,2
176,5호선,올림픽공원역,3
177,5호선,방이역,1
178,5호선,오금역,2
179,5호선,개롱역,2
180,5호선,거여역,2
181,5호선,마천역,1
182,6호선,신내역,0
183,6호선,봉화산역,5
184,6호선,화랑대역,1
